"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"225023_at"	0.00453647023778883	5.14791382703804e-06	-8.97417528745588	4.57081200934019	-1.34289666666667	"GOPC"	"golgi associated PDZ and coiled-coil motif containing"
"202271_at"	0.00453647023778883	5.1950020864589e-06	-8.96485822499337	4.56247873800133	-1.02007833333333	"FBXO28"	"F-box protein 28"
"221899_at"	0.00453647023778883	5.22720850444804e-06	-8.95853867897188	4.55682118637351	-2.84627666666666	"N4BP2L2"	"NEDD4 binding protein 2 like 2"
"222201_s_at"	0.00454865508242932	5.32444307774077e-06	-8.93971413292139	4.53994320609218	-2.376895	"CASP8AP2"	"caspase 8 associated protein 2"
"202049_s_at"	0.00465923289433506	5.55108511146521e-06	-8.89725521450474	4.50173487115289	-1.03925	"ZMYM4"	"zinc finger MYM-type containing 4"
"228392_at"	0.00465923289433506	5.70313199448151e-06	-8.86981810468819	4.47694095982252	-2.09039333333333	"ZNF302"	"zinc finger protein 302"
"203820_s_at"	0.00465923289433506	5.80767595611829e-06	-8.85141220704346	4.4602624786587	-2.116465	"IGF2BP3"	"insulin like growth factor 2 mRNA binding protein 3"
"229751_s_at"	0.00465923289433506	5.80860794564521e-06	-8.85124975253711	4.46011510682069	-1.30362833333333	"PUS7L"	"pseudouridylate synthase 7 like"
"226404_at"	0.00465923289433506	5.94548368747472e-06	-8.82769494599401	4.43871677358427	-1.051685	"RBM39"	"RNA binding motif protein 39"
"223213_s_at"	0.00465923289433506	5.99899081240303e-06	-8.81864741892527	4.430481477536	-2.42833	"ZHX1"	"zinc fingers and homeoboxes 1"
"229460_at"	0.00465923289433506	6.05039845446345e-06	-8.81003746754991	4.42263616972753	-2.11630166666667	"FAM126B"	"family with sequence similarity 126 member B"
"218362_s_at"	0.00481395934033791	6.53253600890798e-06	-8.73297387570966	4.35205429926621	-2.03433333333333	"DIS3"	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"
"213331_s_at"	0.00481395934033791	6.58390017656396e-06	-8.7251320008087	4.34483530515336	-1.75385166666666	"NEK1"	"NIMA related kinase 1"
"230226_s_at"	0.00481395934033791	6.62231001783331e-06	-8.71931138735731	4.33947262295355	-0.98689833333333	"KDM5A"	"lysine demethylase 5A"
"214691_x_at"	0.00481395934033791	6.68632221762591e-06	-8.70969237336756	4.33060214869591	-2.00527	"FAM63B"	"family with sequence similarity 63 member B"
"225144_at"	0.00481395934033791	6.69155756498731e-06	-8.70891011474244	4.32988031339855	-1.76541666666666	"BMPR2"	"bone morphogenetic protein receptor type 2"
"203593_at"	0.00501454279198892	7.06209044322171e-06	-8.65517901067096	4.28013665113997	-1.96066333333333	"CD2AP"	"CD2 associated protein"
"203552_at"	0.00508858964268751	7.25944201425927e-06	-8.62780229751101	4.254667660311	-1.48548666666666	"MAP4K5"	"mitogen-activated protein kinase kinase kinase kinase 5"
"223255_at"	0.00518726264254512	7.68882672803314e-06	-8.57094303187464	4.20150154797744	-1.88222833333333	"G2E3"	"G2/M-phase specific E3 ubiquitin protein ligase"
"220735_s_at"	0.00518726264254512	7.73536229077756e-06	-8.56498972540715	4.19591383163299	-1.37076833333333	"SENP7"	"SUMO1/sentrin specific peptidase 7"
"222451_s_at"	0.00518726264254512	7.78314944288382e-06	8.55891681824501	4.19020972663965	0.986131666666672	"ZDHHC9"	"zinc finger DHHC-type containing 9"
"233799_at"	0.00518726264254512	8.0898599166056e-06	-8.52088247981982	4.15439003467412	-2.14114	""	""
"225351_at"	0.00518726264254512	8.27075355128432e-06	-8.49918053977714	4.1338779973508	-1.05423	"FAM45A///FAM45BP"	"family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene"
"209475_at"	0.00518726264254512	8.34775450327899e-06	-8.49009925113827	4.12527867633062	-1.294355	"MIR6125///USP15"	"microRNA 6125///ubiquitin specific peptidase 15"
"202374_s_at"	0.00518726264254512	8.41306368467439e-06	-8.48246816512099	4.11804530101699	-1.19740666666666	"RAB3GAP2///AURKAPS1"	"RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1"
"221598_s_at"	0.00518726264254512	8.48524651369095e-06	8.47410871880125	4.11011387486593	0.737951666666672	"MED27"	"mediator complex subunit 27"
"212577_at"	0.00518726264254512	8.82975086515927e-06	-8.43525209085005	4.07314151280933	-1.72546	"SMCHD1"	"structural maintenance of chromosomes flexible hinge domain containing 1"
"238030_at"	0.00518726264254512	8.83436524085165e-06	-8.43474291802911	4.07265587857386	-1.92391833333333	"ZNF268"	"zinc finger protein 268"
"201604_s_at"	0.00518726264254512	8.92272044274456e-06	-8.42504892299162	4.06340432735348	-1.50547333333333	"PPP1R12A"	"protein phosphatase 1 regulatory subunit 12A"
"239771_at"	0.00518726264254512	9.001453152558e-06	-8.41649844765066	4.05523510585054	-0.879151666666667	"CAND1"	"cullin associated and neddylation dissociated 1"
"203048_s_at"	0.00518726264254512	9.1514428495013e-06	-8.40043270693742	4.0398628657688	-2.06445833333333	"TTC37"	"tetratricopeptide repeat domain 37"
"236155_at"	0.00518726264254512	9.22675867631758e-06	-8.39247337461276	4.03223604507545	-1.803135	"ZCCHC6"	"zinc finger CCHC-type containing 6"
"218848_at"	0.00518726264254512	9.22678225063633e-06	8.39247089439506	4.03223366732829	0.999260000000003	"THOC6"	"THO complex 6"
"230192_at"	0.00518726264254512	9.26756104469826e-06	-8.38819093038583	4.02812946835851	-1.168945	"TRIM13"	"tripartite motif containing 13"
"242310_at"	0.00518726264254512	9.43264226211589e-06	-8.37107208180679	4.01169238686985	-2.08933	""	""
"212919_at"	0.00518726264254512	9.4811133651467e-06	-8.36610762166243	4.00691927114808	-1.67582333333333	"DCP2"	"decapping mRNA 2"
"226528_at"	0.00518726264254512	9.69285805878755e-06	-8.34474022101525	3.9863426856337	-1.62439833333333	"MTX3"	"metaxin 3"
"213118_at"	0.00518726264254512	1.00679974870616e-05	-8.30810502067279	3.95093934161441	-1.48305333333333	"UHRF1BP1L"	"UHRF1 binding protein 1 like"
"202832_at"	0.00518726264254512	1.00887956994008e-05	-8.30611763724336	3.94901429144673	-2.17360666666666	"GCC2"	"GRIP and coiled-coil domain containing 2"
"219381_at"	0.00518726264254512	1.0091026020809e-05	-8.30590478293262	3.9488080857439	-1.31294333333333	"C5orf42"	"chromosome 5 open reading frame 42"
"202512_s_at"	0.00518726264254512	1.01710792178644e-05	-8.29829854203136	3.94143594094114	-1.26961833333333	"ATG5"	"autophagy related 5"
"240172_at"	0.00518726264254512	1.01964434162109e-05	-8.29590217174801	3.93911191672517	-2.06850166666667	"ERGIC2"	"ERGIC and golgi 2"
"226310_at"	0.00518726264254512	1.0255138592569e-05	-8.29038156536621	3.93375540995918	-1.68710166666667	"RICTOR"	"RPTOR independent companion of MTOR complex 2"
"213391_at"	0.00518726264254512	1.03768863633033e-05	-8.27903950610576	3.92273925105521	-1.15011	"DPY19L4"	"dpy-19 like 4 (C. elegans)"
"220173_at"	0.00518726264254512	1.0421403880177e-05	-8.27492840830289	3.91874254304524	-1.300095	"BBOF1"	"basal body orientation factor 1"
"209022_at"	0.00518726264254512	1.04239285735247e-05	-8.27469583202898	3.91851637864342	-1.88427	"STAG2"	"stromal antigen 2"
"231919_at"	0.00518726264254512	1.04330440052828e-05	-8.27385662363463	3.91770025333386	-1.69102333333333	"DBT"	"dihydrolipoamide branched chain transacylase E2"
"231003_at"	0.00518726264254512	1.04427725346796e-05	-8.27296185173349	3.91683000145995	-1.14255166666667	"SLC35B3"	"solute carrier family 35 member B3"
"239973_at"	0.00518726264254512	1.04583909488672e-05	-8.2715272617353	3.915434527648	-1.75720666666667	""	""
"238773_at"	0.00518726264254512	1.06896746085155e-05	-8.25055249318024	3.89500395124366	-1.22778166666667	"METTL15"	"methyltransferase like 15"
"212337_at"	0.00518726264254512	1.07246733653237e-05	-8.24742163479047	3.8919498678908	-0.89762	"TUG1"	"taurine up-regulated 1 (non-protein coding)"
"226834_at"	0.00518726264254512	1.07447922477214e-05	-8.245626910362	3.89019863129173	-0.955299999999992	"CLMP"	"CXADR like membrane protein"
"222239_s_at"	0.00518726264254512	1.08303713736299e-05	-8.23803344653022	3.88278494829954	-1.15269166666666	"INTS6"	"integrator complex subunit 6"
"243338_at"	0.00518726264254512	1.10150450497176e-05	-8.22186772981058	3.86697922691377	-1.36286833333333	"CSNK1A1"	"casein kinase 1 alpha 1"
"233461_x_at"	0.00518726264254512	1.10384267285231e-05	-8.21984206225194	3.86499648481038	-1.59857666666667	"ZNF226"	"zinc finger protein 226"
"223324_s_at"	0.00518726264254512	1.10573892836604e-05	-8.21820267523808	3.86339148119963	-1.60546333333333	"TRPM7"	"transient receptor potential cation channel subfamily M member 7"
"1553725_s_at"	0.00518726264254512	1.11003151198496e-05	-8.21450285816279	3.85976808923989	-1.97387	"ZNF644"	"zinc finger protein 644"
"217920_at"	0.0052199341858199	1.12842696211183e-05	-8.19882230007179	3.84439338317048	-1.17785666666667	"MAN1A2"	"mannosidase alpha class 1A member 2"
"201071_x_at"	0.0052199341858199	1.14357148731148e-05	-8.18612050375459	3.83191789067738	-1.12275	"SF3B1"	"splicing factor 3b subunit 1"
"230387_at"	0.0052199341858199	1.14566456753249e-05	-8.18437945246972	3.83020636115551	-2.75137	""	""
"201359_at"	0.00528225706069125	1.17905540472909e-05	-8.15706398340996	3.80330668948479	-1.0264	"COPB1"	"coatomer protein complex subunit beta 1"
"205140_at"	0.00528225706069125	1.17946719516805e-05	-8.15673239979572	3.80297960537404	-1.637245	"FPGT"	"fucose-1-phosphate guanylyltransferase"
"213359_at"	0.00528225706069125	1.1999783600954e-05	-8.1403740125039	3.78682684774476	-1.83539333333333	"HNRNPD"	"heterogeneous nuclear ribonucleoprotein D"
"1555996_s_at"	0.00528225706069125	1.24663363863061e-05	-8.10427224711489	3.75106520804516	-2.397725	"MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2"	"microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2"
"203870_at"	0.00528225706069125	1.26242253144761e-05	-8.09238714724386	3.73925774714986	-0.923889999999999	"USP46"	"ubiquitin specific peptidase 46"
"220055_at"	0.00528225706069125	1.27544783532307e-05	-8.08270358677055	3.72962483789391	-1.23360666666666	"ZNF287"	"zinc finger protein 287"
"201603_at"	0.00528225706069125	1.27618866161767e-05	-8.08215606648537	3.72907984304941	-1.52751	"PPP1R12A"	"protein phosphatase 1 regulatory subunit 12A"
"243619_at"	0.00528225706069125	1.28860383316118e-05	-8.07303159584493	3.71999212251217	-0.948011666666665	"FGFR1OP2"	"FGFR1 oncogene partner 2"
"121_at"	0.00528225706069125	1.29371574059316e-05	8.069302418048	3.71627506422823	0.840213333333337	"PAX8"	"paired box 8"
"244462_at"	0.00528225706069125	1.29869205672564e-05	-8.06568753992384	3.71267032665054	-1.30083666666667	"ZNF224"	"zinc finger protein 224"
"233070_at"	0.00528225706069125	1.30754677317109e-05	-8.05929247928526	3.7062893270756	-1.04335833333333	"ZNF197"	"zinc finger protein 197"
"219317_at"	0.00528225706069125	1.30801923191598e-05	-8.05895258631337	3.70595004267795	-1.76401833333333	"POLI"	"DNA polymerase iota"
"212870_at"	0.00528225706069125	1.3189005576621e-05	-8.05116121173281	3.69816877566256	-1.11347333333333	"SOS2"	"SOS Ras/Rho guanine nucleotide exchange factor 2"
"223234_at"	0.00528225706069125	1.32085320825718e-05	8.04977046264371	3.69677905584685	0.817086666666668	"MAD2L2"	"MAD2 mitotic arrest deficient-like 2 (yeast)"
"214720_x_at"	0.00528225706069125	1.32911967187053e-05	-8.04390748892788	3.6909178387786	-1.01610333333333	"SEPT10"	"septin 10"
"223394_at"	0.00528225706069125	1.33620885567744e-05	8.0389110446093	3.68591959492734	1.046765	"SERTAD1"	"SERTA domain containing 1"
"224769_at"	0.00528225706069125	1.34101077630505e-05	-8.03554303243928	3.68254865702659	-1.74166666666666	"TAOK1"	"TAO kinase 1"
"40255_at"	0.00528225706069125	1.34875117521616e-05	8.03014155980463	3.67713961069694	0.799445000000006	"DDX28"	"DEAD-box helicase 28"
"211452_x_at"	0.00528225706069125	1.37254739188791e-05	-8.01374492215458	3.66069821532442	-1.26747333333333	"LRRFIP1"	"LRR binding FLII interacting protein 1"
"212820_at"	0.00528225706069125	1.40927955381141e-05	-7.98903307348468	3.63585691433749	-1.84889333333333	"DMXL2"	"Dmx like 2"
"223701_s_at"	0.00528225706069125	1.41309089128382e-05	-7.98650921591238	3.63331563238771	-1.73772	"USP47"	"ubiquitin specific peptidase 47"
"1554447_at"	0.00528225706069125	1.42466889031571e-05	-7.97888751703596	3.62563657863171	-1.468095	"JPX"	"JPX transcript, XIST activator (non-protein coding)"
"231874_at"	0.00528225706069125	1.42973295307161e-05	-7.97557506281167	3.62229697801764	-2.43867166666667	"FAM126B"	"family with sequence similarity 126 member B"
"224565_at"	0.00528225706069125	1.43077699407044e-05	-7.97489373362341	3.62160989833329	-2.04101666666666	"MIR612///NEAT1"	"microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)"
"225988_at"	0.00528225706069125	1.43438960593959e-05	-7.97254035512969	3.61923621905806	-1.02103666666666	"HERC4"	"HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"1553750_a_at"	0.00528225706069125	1.43847964953287e-05	-7.96988373856614	3.61655586944166	-1.11147166666666	"FAM76B"	"family with sequence similarity 76 member B"
"229256_at"	0.00528225706069125	1.4418073963179e-05	-7.96772831977308	3.61438055861438	-1.99788666666666	"PGM2L1"	"phosphoglucomutase 2 like 1"
"209284_s_at"	0.00528225706069125	1.45728115717266e-05	-7.95777644349928	3.60432943935315	-1.18186666666666	"FAM208A"	"family with sequence similarity 208 member A"
"212546_s_at"	0.00528225706069125	1.47140742417544e-05	-7.94879115453512	3.59524408835445	-1.409465	"FRYL"	"FRY like transcription coactivator"
"203482_at"	0.00528225706069125	1.48389020803049e-05	-7.94092905804083	3.587286287199	-1.20116333333333	"SLF2"	"SMC5-SMC6 complex localization factor 2"
"218631_at"	0.00528225706069125	1.48959499780399e-05	7.93735992171258	3.58367119115701	0.945915000000001	"AVPI1"	"arginine vasopressin induced 1"
"242750_at"	0.00528225706069125	1.48990095547659e-05	-7.93716892346845	3.58347768917486	-1.97470833333333	"MMAA"	"methylmalonic aciduria (cobalamin deficiency) cblA type"
"233558_s_at"	0.00528225706069125	1.48998231941316e-05	-7.93711813811097	3.58342623733073	-0.81570666666666	"TRAPPC11"	"trafficking protein particle complex 11"
"232180_at"	0.00528225706069125	1.49115180380275e-05	-7.93638850828967	3.58268699704394	-2.576585	"UGP2"	"UDP-glucose pyrophosphorylase 2"
"212616_at"	0.00528225706069125	1.50675229923562e-05	-7.9267146760108	3.57287953788825	-2.368535	"CHD9"	"chromodomain helicase DNA binding protein 9"
"203584_at"	0.00528225706069125	1.5071460474949e-05	-7.9264719264524	3.57263328666096	-1.61618333333333	"EMC2"	"ER membrane protein complex subunit 2"
"205684_s_at"	0.0053059803496961	1.53688208259508e-05	-7.90833618456391	3.55421534739431	-1.42938	"DENND4C"	"DENN domain containing 4C"
"34031_i_at"	0.0053059803496961	1.54103199490035e-05	-7.90583559958088	3.55167266205714	-1.73425	"KRIT1"	"KRIT1, ankyrin repeat containing"
"221213_s_at"	0.0053059803496961	1.54302857906114e-05	-7.90463514183725	3.55045171819727	-2.38718666666666	"LOC145783///ZNF280D"	"uncharacterized LOC145783///zinc finger protein 280D"
"243084_at"	0.00532135836131936	1.55752595374885e-05	-7.89596890896181	3.54163229905405	-2.42893166666667	"CALD1"	"caldesmon 1"
"225891_at"	0.00532135836131936	1.574304592989e-05	7.88604794833515	3.53152454461936	0.677511666666669	"TPRN"	"taperin"
"211752_s_at"	0.00532135836131936	1.60055141919401e-05	7.87075716712111	3.51592193716833	0.905293333333336	"NDUFS7"	"NADH:ubiquinone oxidoreductase core subunit S7"
"226665_at"	0.00532135836131936	1.60402844353334e-05	-7.86875202960342	3.51387375348475	-1.84103166666667	"AHSA2"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"225657_at"	0.00532135836131936	1.62794452384208e-05	7.85508697199766	3.49990200974867	0.778093333333338	"NCBP2-AS2"	"NCBP2 antisense RNA 2 (head to head)"
"209865_at"	0.00532135836131936	1.64503909626522e-05	-7.84545279594209	3.49003762870688	-2.02012666666667	"SLC35A3"	"solute carrier family 35 member A3"
"58696_at"	0.00532135836131936	1.65635447307371e-05	7.83913541045713	3.48356300542109	0.799610000000001	"EXOSC4"	"exosome component 4"
"227594_at"	0.00532135836131936	1.66062792603349e-05	-7.83676174850156	3.48112897580574	-1.43495333333333	"ZMYM6"	"zinc finger MYM-type containing 6"
"221158_at"	0.00532135836131936	1.6626597359415e-05	-7.83563552361214	3.47997386224793	-0.921144999999997	"PAXBP1"	"PAX3 and PAX7 binding protein 1"
"224524_s_at"	0.00532135836131936	1.66910606704724e-05	-7.83207223611129	3.47631812924722	-0.84571833333333	"GPR75-ASB3///ASB3"	"GPR75-ASB3 readthrough///ankyrin repeat and SOCS box containing 3"
"219280_at"	0.00532135836131936	1.673873459896e-05	-7.82944662329761	3.47362338227967	-1.81674833333333	"BRWD1"	"bromodomain and WD repeat domain containing 1"
"205283_at"	0.00532135836131936	1.68055847819845e-05	-7.82577856583334	3.46985729896217	-1.76326833333333	"FKTN"	"fukutin"
"212721_at"	0.00532135836131936	1.69652580730197e-05	-7.8170812017818	3.46092077610866	-1.65889	"SREK1"	"splicing regulatory glutamic acid and lysine rich protein 1"
"208442_s_at"	0.00532135836131936	1.70421318562808e-05	-7.81292562227093	3.45664758289909	-2.46299833333333	"ATM"	"ATM serine/threonine kinase"
"241372_at"	0.00532135836131936	1.71985036998423e-05	-7.80453520016632	3.44801309294105	-0.971976666666665	"ZC3H6"	"zinc finger CCCH-type containing 6"
"1562910_at"	0.00532135836131936	1.75109085694697e-05	7.7880183901722	3.43099001276895	0.701478333333335	"SH3PXD2B"	"SH3 and PX domains 2B"
"220761_s_at"	0.00532135836131936	1.77333745629642e-05	-7.7764509354289	3.41904757643248	-0.99851833333333	"TAOK3"	"TAO kinase 3"
"227988_s_at"	0.00532135836131936	1.77604845176857e-05	-7.7750521159248	3.41760227002575	-2.62308333333333	"VPS13A"	"vacuolar protein sorting 13 homolog A"
"226383_at"	0.00532135836131936	1.78253467498937e-05	-7.77171476228704	3.41415301082721	-1.16189833333333	"ARL14EP"	"ADP ribosylation factor like GTPase 14 effector protein"
"225786_at"	0.00532135836131936	1.78348017706458e-05	-7.77122937726745	3.41365123337057	-2.548745	""	""
